"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
JM_Aulas,"ID 919865807244537857","Mon Oct 16 10:01:13 +0000 2017","RT @lequipe Coupe du monde 2018 : La France sera bien tête de série https://t.co/NswaJaqjYG #Riolo bashing anti DD c'est démoniaque et bête",https://twitter.com/JM_Aulas/statuses/919865807244537857,56,223,"Twitter for iPhone" 
JM_Aulas,"ID 919672500061179904","Sun Oct 15 21:13:05 +0000 2017","@OL @Le_Progres Beau we d foot pour l'OL victoire contre l Champion et+que 3 points derrière le 2sd ,formidable OL féminin toujourS leader👍👋",https://twitter.com/JM_Aulas/statuses/919672500061179904,96,437,"Twitter for iPhone" 
JM_Aulas,"ID 919247238337003520","Sat Oct 14 17:03:15 +0000 2017","@Armmonia7 @InsideGones Formidable c'est aussi magnifique",https://twitter.com/JM_Aulas/statuses/919247238337003520,2,4,"Twitter for iPhone" 
JM_Aulas,"ID 919218241930711040","Sat Oct 14 15:08:01 +0000 2017","@JulienHuet C'est vrai que cette banderole déployée au pire moment des + grands efforts de notre équipe est totalement déplacée #tiruneballedanslepied",https://twitter.com/JM_Aulas/statuses/919218241930711040,23,85,"Twitter for iPhone" 
JM_Aulas,"ID 919217066170896384","Sat Oct 14 15:03:21 +0000 2017","RT @JulienHuet: Première mi temps de très haut vol de l'OL. Bizarre au milieu de celle-ci de sortir une banderole vindicative au virage Sud…",https://twitter.com/JM_Aulas/statuses/919217066170896384,22,0,"Twitter for iPhone" 
JM_Aulas,"ID 919216988509097984","Sat Oct 14 15:03:02 +0000 2017","RT @JulienHuet: Le message de la banderole OK. Mais avant ou après le match. Ou à la mi-temps. Pas au milieu d'une superbe première période",https://twitter.com/JM_Aulas/statuses/919216988509097984,32,0,"Twitter for iPhone" 
JM_Aulas,"ID 919153619613732870","Sat Oct 14 10:51:14 +0000 2017","@florentderue @OL Quand j'écoute ce témoignage formidable émouvant et que je lis certains articles comme celui d'Anthony Faure du Parisien je crie au scandale",https://twitter.com/JM_Aulas/statuses/919153619613732870,16,105,"Twitter for iPhone" 
JM_Aulas,"ID 919153292671946752","Sat Oct 14 10:49:56 +0000 2017","RT @florentderue: Hier soir j'ai vécu mon premier match de l'@OL, c'était fou! Exceptionnelle cette rencontre 👌🏼 @JM_Aulas https://t.co/Ibj…",https://twitter.com/JM_Aulas/statuses/919153292671946752,65,0,"Twitter for iPhone" 
JM_Aulas,"ID 919146816150605824","Sat Oct 14 10:24:12 +0000 2017","RT @DorangeRomain: Faire 1200 KMS pour vivre une telle émotion ... ! Merci @OL @JM_Aulas 🔴🔵🦁 Nous sommes l'Olympique Lyonnais https://t.co/…",https://twitter.com/JM_Aulas/statuses/919146816150605824,98,0,"Twitter for iPhone" 
JM_Aulas,"ID 919146455230746625","Sat Oct 14 10:22:46 +0000 2017","RT @OL: La #teamOL arrache la victoire (3-2) grâce à un énorme Nabil Fekir, 2 buts, une passe D !! 👊🔴🔵 #OLASM https://t.co/QMvkyfyuVA",https://twitter.com/JM_Aulas/statuses/919146455230746625,770,0,"Twitter for iPhone" 
JM_Aulas,"ID 919146191807447040","Sat Oct 14 10:21:43 +0000 2017","RT @OL_HISTOIRE: Ils ont gagné la CDF 1964, 1er trophée de l'OL. Ils sont au @GroupamaStadium pour #OLasm . #OLLegendes https://t.co/Et1mPA…",https://twitter.com/JM_Aulas/statuses/919146191807447040,44,0,"Twitter for iPhone" 
JM_Aulas,"ID 919145947766157312","Sat Oct 14 10:20:45 +0000 2017","RT @OL: 🎞 #JeuConcours 🎞  Follow & RT pour remporter des invitations pour le Festival Lumière !! (TAS lundi)  + d'infos ➡️ https://t.co/EzS…",https://twitter.com/JM_Aulas/statuses/919145947766157312,135,0,"Twitter for iPhone" 
JM_Aulas,"ID 919145826966032386","Sat Oct 14 10:20:16 +0000 2017","@OL_Plus @OL Quand vous aurez fini de prendre les dirigeants qui travaillent réussissent et sont passionnés pour des idiots vous arrêterez vos mensonges",https://twitter.com/JM_Aulas/statuses/919145826966032386,40,178,"Twitter for iPhone" 
JM_Aulas,"ID 919145354922221568","Sat Oct 14 10:18:24 +0000 2017","RT @CegidGroup: [#Retail] Le magasin de demain marque le retour du #commerce humain, authentique et expérientiel ! #ParisRetailWeek https:/…",https://twitter.com/JM_Aulas/statuses/919145354922221568,7,0,"Twitter for iPhone" 
JM_Aulas,"ID 919145261435441152","Sat Oct 14 10:18:01 +0000 2017","RT @oetl: Tu approuves @NicoPuydebois pour Lopes ? 😁 #débat #OL https://t.co/iCoaQe7oup",https://twitter.com/JM_Aulas/statuses/919145261435441152,6,0,"Twitter for iPhone" 
JM_Aulas,"ID 919145176177823744","Sat Oct 14 10:17:41 +0000 2017","@GroupamaStadium @AmandineBonino Trop trop beau ce Groupama Stadium Merveilleuse supporters 👋👋👋👋👋",https://twitter.com/JM_Aulas/statuses/919145176177823744,45,358,"Twitter for iPhone" 
JM_Aulas,"ID 919145006513971201","Sat Oct 14 10:17:01 +0000 2017","RT @GroupamaStadium: Show lumineux avant #OLASM !! https://t.co/70xZTRAK40",https://twitter.com/JM_Aulas/statuses/919145006513971201,412,0,"Twitter for iPhone" 
JM_Aulas,"ID 919144430229180416","Sat Oct 14 10:14:43 +0000 2017","RT @RMCsport: #OLASM - Pour Fekir, les critiques contre Genesio sont ""ridicules"" ➡️ https://t.co/VufP9rr90Q #rmclive https://t.co/o2asKTlPCc",https://twitter.com/JM_Aulas/statuses/919144430229180416,21,0,"Twitter for iPhone" 
JM_Aulas,"ID 919143913679704064","Sat Oct 14 10:12:40 +0000 2017","@OL_Plus @OL Vous essayez de vous confortez en publiant de croises âneries les supporters sont là et les aiment , hier soir ils ont été magiques fabuleux",https://twitter.com/JM_Aulas/statuses/919143913679704064,35,172,"Twitter for iPhone" 
